title,price_gbp,price_inr,rating,in_stock,category
It's Only the Himalayas,,,2,True,Travel
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,,,4,True,Travel
See America: A Celebration of Our National Parks & Treasured Sites,,,3,True,Travel
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,,,2,True,Travel
Under the Tuscan Sun,,,3,True,Travel
A Summer In Europe,,,2,True,Travel
The Great Railway Bazaar,,,1,True,Travel
A Year in Provence (Provence #1),,,4,True,Travel
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),,,1,True,Travel
Neither Here nor There: Travels in Europe,,,3,True,Travel
"1,000 Places to See Before You Die",,,5,True,Travel
Sharp Objects,,,4,True,Mystery
"In a Dark, Dark Wood",,,1,True,Mystery
The Past Never Ends,,,4,True,Mystery
A Murder in Time,,,1,True,Mystery
The Murder of Roger Ackroyd (Hercule Poirot #4),,,4,True,Mystery
The Last Mile (Amos Decker #2),,,2,True,Mystery
That Darkness (Gardiner and Renner #1),,,1,True,Mystery
Tastes Like Fear (DI Marnie Rome #3),,,1,True,Mystery
A Time of Torment (Charlie Parker #14),,,5,True,Mystery
A Study in Scarlet (Sherlock Holmes #1),,,2,True,Mystery
Poisonous (Max Revere Novels #3),,,3,True,Mystery
Murder at the 42nd Street Library (Raymond Ambler #1),,,4,True,Mystery
Most Wanted,,,3,True,Mystery
Hide Away (Eve Duncan #20),,,1,True,Mystery
Boar Island (Anna Pigeon #19),,,3,True,Mystery
The Widow,,,2,True,Mystery
Playing with Fire,,,3,True,Mystery
What Happened on Beale Street (Secrets of the South Mysteries #2),,,5,True,Mystery
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),,,5,True,Mystery
Delivering the Truth (Quaker Midwife Mystery #1),,,4,True,Mystery
The Mysterious Affair at Styles (Hercule Poirot #1),,,4,True,Mystery
In the Woods (Dublin Murder Squad #1),,,2,True,Mystery
The Silkworm (Cormoran Strike #2),,,5,True,Mystery
The Exiled,,,3,True,Mystery
The Cuckoo's Calling (Cormoran Strike #1),,,1,True,Mystery
Extreme Prey (Lucas Davenport #26),,,3,True,Mystery
Career of Evil (Cormoran Strike #3),,,2,True,Mystery
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),,,4,True,Mystery
The Girl You Lost,,,5,True,Mystery
The Girl In The Ice (DCI Erika Foster #1),,,3,True,Mystery
Blood Defense (Samantha Brinkman #1),,,3,True,Mystery
1st to Die (Women's Murder Club #1),,,1,True,Mystery
Tipping the Velvet,,,1,True,Historical Fiction
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,,,3,True,Historical Fiction
A Flight of Arrows (The Pathfinders #2),,,5,True,Historical Fiction
The House by the Lake,,,1,True,Historical Fiction
Mrs. Houdini,,,5,True,Historical Fiction
The Marriage of Opposites,,,4,True,Historical Fiction
Glory over Everything: Beyond The Kitchen House,,,3,True,Historical Fiction
"Love, Lies and Spies",,,2,True,Historical Fiction
A Paris Apartment,,,4,True,Historical Fiction
Lilac Girls,,,2,True,Historical Fiction
The Constant Princess (The Tudor Court #1),,,3,True,Historical Fiction
The Invention of Wings,,,1,True,Historical Fiction
World Without End (The Pillars of the Earth #2),,,4,True,Historical Fiction
The Passion of Dolssa,,,5,True,Historical Fiction
Girl With a Pearl Earring,,,1,True,Historical Fiction
Voyager (Outlander #3),,,5,True,Historical Fiction
The Red Tent,,,5,True,Historical Fiction
The Last Painting of Sara de Vos,,,2,True,Historical Fiction
The Guernsey Literary and Potato Peel Pie Society,,,1,True,Historical Fiction
Girl in the Blue Coat,,,2,True,Historical Fiction
Between Shades of Gray,,,5,True,Historical Fiction
While You Were Mine,,,5,True,Historical Fiction
The Secret Healer,,,3,True,Historical Fiction
Starlark,,,3,True,Historical Fiction
Lost Among the Living,,,4,True,Historical Fiction
A Spy's Devotion (The Regency Spies of London #1),,,5,True,Historical Fiction
